FCID,LON,LAT,B3,B4,B5,ASPTR,DEM,TPI450,ANNPRE,SLPPCT,SMRTMP,SMRVP,SERIES
36884,-120.7878095,48.56819337,0.146090664,0.207883302,0.072765375,1.939203389,1182.213023,-8.994374593,1303.0,9.666666667000001,1751.5,91680.0,22
36885,-120.78914509999998,48.56646499,0.144937936,0.207434914,0.076837117,1.9864575619999998,1227.251929,-15.6456543,1303.0,18.1,1751.5,91680.0,22
36886,-120.75911909999999,48.5327296,0.161221203,0.233697474,0.07306657700000001,1.9881307480000001,1323.385919,-14.43241374,1323.0,5.222222222,1669.0,89040.0,23
36887,-120.7719088,48.52930723,0.17858010000000002,0.22844612600000003,0.109985565,1.43638832,1404.12257,-64.94807573,1395.0,11.81818182,1556.5,86800.0,23
36888,-120.7768693,48.52799897,0.179013535,0.249290222,0.12345980699999999,1.666278968,1435.876931,-59.46332342,1463.0,8.272727273,1456.5,84760.0,23
36889,-120.77676159999999,48.52891514,0.36459266700000004,0.426245826,0.15506777900000002,1.183379383,1441.1396730000001,-51.15129395,1463.0,13.5,1456.5,84760.0,22
36900,-120.8868203,48.65245633,0.322252978,0.38770138,0.16262875599999999,0.785627183,1611.995056,38.73982747,1547.0,31.66666667,1452.0,84440.0,22
36901,-120.88019380000001,48.65471938,0.147199491,0.23566621699999998,0.12407438900000001,1.872483343,1384.053855,21.4732555,1387.0,26.45454545,1710.0,91720.0,23
36904,-120.60585690000002,48.7145994,0.13549966,0.17834330399999998,0.081975886,1.981305619,1517.713367,-10.99182129,1177.0,39.2,1555.5,86400.0,22
36913,-120.65795049999998,48.68049243,0.41969956700000005,0.43043372799999996,0.189694232,1.9971994640000001,1361.79776,-58.35571289,1229.0,16.25,1565.0,86800.0,22
36917,-120.80860530000001,48.62207864,0.44149495299999997,0.47717152700000004,0.217600663,0.6451697470000001,1763.933538,-6.225530451,1500.0,33.36363636,1359.5,81080.0,22
