PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
154760,739,624,2449,-506,221,4328,-12208,84,1607,14886,14,0,-6,-11,1873,709,-1022,273
154840,756,680,2246,-293,212,4397,-12201,168,1413,13334,23,2,2,-5,1203,859,-135,688
154846,783,663,2263,-326,203,4447,-12209,1,1372,17243,23,2,0,-2,1653,1365,-365,738
154869,696,543,2395,-680,238,4396,-12153,100,1653,16706,0,0,-3,-4,2624,293,-2599,-88
154889,662,603,2559,-666,259,4363,-12181,41,1397,15830,18,-2,-11,-15,1733,538,-551,352
154933,732,1000,2918,-291,339,4129,-12208,29,1198,17938,5,0,0,1,2006,997,-899,409
154936,772,882,2579,-115,255,4458,-12228,28,656,11433,83,-10,-69,-120,1775,1476,-185,775
154937,784,790,2281,-171,224,4460,-12245,178,1190,12035,8,-5,-8,3,1290,1323,-280,735
154939,782,868,2353,-68,235,4451,-12261,3,880,14146,4,12,21,20,2423,1400,-1654,348
154952,695,656,2556,-534,265,4278,-12196,171,1631,16986,2,0,0,0,2675,585,-1765,72
154999,626,1071,3121,-316,391,4198,-12234,159,835,16369,5,0,0,-1,2410,630,-1762,87
155031,776,935,2562,-83,256,4422,-12256,48,884,16073,27,-10,-16,-16,2061,1836,-167,816
155045,610,797,2859,-620,338,4218,-12205,7,1222,17317,5,0,1,-5,2804,753,-1862,190
155086,747,913,2579,-137,264,4508,-12202,29,567,16217,7,-3,-16,-21,1687,1496,-574,693
155088,741,761,2528,-327,251,4496,-12184,81,903,14386,9,3,3,4,1779,1375,-329,780
155172,781,823,2245,-100,221,4501,-12240,0,836,18395,21,-5,-7,-12,3507,1083,-2046,196
155173,748,992,2518,1,268,4476,-12248,3,442,16203,8,10,33,48,2007,1858,-133,822
155182,748,624,2249,-365,208,4378,-12214,199,1604,10542,19,7,31,78,1332,1122,-349,816
155192,753,418,2135,-667,177,4380,-12198,0,1671,16755,8,0,-2,-5,1829,625,-1487,117
155193,768,949,2669,-106,275,4422,-12221,103,685,9567,36,-14,-29,-44,1270,994,-176,750
155215,671,1133,3088,-92,365,4259,-12278,197,572,15097,4,-2,-16,-38,2375,1596,-970,518
155262,770,664,2246,-397,225,4560,-12176,40,1016,19835,39,-1,-15,-27,2177,1911,-729,684
155271,643,945,2847,-304,345,4183,-12231,78,1324,15727,14,0,1,-11,2769,502,-1710,78
155278,786,854,2498,-159,240,4393,-12235,3,993,15167,24,-2,-7,-28,1861,1671,-267,747
155307,724,617,2398,-498,242,4244,-12223,191,1699,15315,30,0,-11,-25,1639,1136,-371,645
155330,757,337,2093,-748,163,4343,-12209,200,1867,15107,11,0,-6,1,1376,831,-444,561
155345,701,1067,2997,-114,333,4280,-12264,147,775,14422,67,13,40,24,2135,1826,-439,712
155347,729,1080,2849,-18,325,4276,-12278,3,858,13604,10,-21,-49,-61,2234,1719,-494,713
155349,683,1060,2932,-108,333,4259,-12259,71,774,15147,7,-1,-27,-48,1655,1278,-342,716
155390,799,719,2223,-245,207,4560,-12191,137,952,16042,55,4,7,-10,2185,1870,-245,777
155395,705,671,2587,-562,267,4264,-12209,69,1494,18349,16,0,-1,-11,1906,1240,-823,483
155421,629,1070,3046,-257,399,4193,-12253,142,1000,16381,20,3,0,2,3244,349,-2353,-95
155451,698,1164,2829,107,336,4337,-12323,122,227,13312,14,-7,-18,-33,1861,1557,-399,736
155528,696,1151,3009,3,335,4303,-12303,1,481,12154,11,0,-6,2,1867,1168,-1065,802
155541,760,593,2198,-442,206,4528,-12171,5,1107,16302,3,0,-1,-4,1637,565,-760,309
155591,755,1059,2634,121,277,4353,-12309,147,714,13389,20,0,0,-9,2707,1706,-853,614
155599,712,376,2055,-700,196,4416,-12173,124,1940,17147,12,0,-1,-4,2424,512,-1722,124
155605,792,434,2050,-550,163,4412,-12186,198,1853,9077,48,0,-9,-10,1183,809,-367,592
155607,726,583,2340,-492,226,4510,-12171,1,1113,16806,6,2,4,13,1769,1522,-125,815
155610,697,710,2496,-544,285,4148,-12210,0,1819,16766,2,1,-4,-10,1367,648,-1048,294
155611,676,620,2534,-596,255,4382,-12167,191,1471,12536,17,-3,-6,-9,1539,945,-472,540
155628,626,746,2710,-568,306,4210,-12195,0,1465,17206,8,3,12,13,2273,793,-1300,226
155654,752,637,2249,-330,213,4338,-12242,1,1707,13117,3,12,38,53,1414,933,-933,489
155698,758,797,2649,-292,251,4459,-12193,29,790,15942,7,0,-2,-11,1668,1318,-170,773
155730,721,929,2741,-175,281,4312,-12252,168,1000,14680,26,-9,-39,-81,2164,1021,-339,681
155741,791,720,2290,-362,217,4542,-12176,32,1014,14606,68,0,6,9,1713,1135,-1004,526
155743,729,1107,2874,12,304,4324,-12290,199,497,11142,19,6,0,2,1967,1690,-432,697
155764,741,990,2432,37,264,4505,-12253,44,436,14073,8,-7,-19,-19,1961,1750,-219,793
155769,782,874,2560,-140,244,4476,-12213,52,756,11827,32,-27,-60,-87,1538,1406,-201,799
155788,651,663,2664,-603,277,4252,-12176,198,1578,13668,21,7,17,27,1645,1185,-339,723
155841,682,552,2459,-691,241,4348,-12194,37,1472,17795,11,-3,-7,-4,2044,596,-1289,157
155844,753,823,2565,-236,254,4476,-12199,185,893,13675,27,-10,-14,-42,2211,1826,-309,740
155859,739,801,2580,-201,252,4289,-12263,199,1535,13948,23,4,21,58,1780,1399,-486,654
155861,662,732,2621,-459,288,4495,-12163,142,998,16310,10,0,3,13,1908,1307,-754,521
155960,720,991,2572,-17,277,4372,-12282,88,740,11788,28,-7,-16,-23,2418,1857,-425,843
156083,715,503,2247,-570,222,4235,-12210,78,1902,16262,2,-3,-18,-39,1415,886,-643,477
156095,775,899,2561,-127,255,4407,-12221,150,835,4920,69,-7,-47,-94,955,795,-197,798
156195,741,1069,2740,33,292,4358,-12294,3,594,17136,41,-2,23,4,2118,1921,-193,808
156209,758,984,2604,-54,259,4422,-12289,195,453,14908,12,-4,-7,-14,1667,1308,-197,750
156211,714,1044,2820,-40,305,4343,-12256,5,763,18739,23,-6,-13,-33,2088,1579,-219,725
156222,781,461,1911,-475,172,4530,-12156,86,1476,18588,60,-5,-19,-18,2937,2266,-1093,648
156223,725,1005,2802,-84,292,4321,-12273,59,826,11436,71,-30,-63,-68,1277,1039,-218,726
156227,746,1000,2552,-19,267,4437,-12253,142,429,16879,11,0,0,9,3266,1315,-1850,307
156229,713,1062,2878,-59,325,4274,-12265,41,902,17914,24,-9,-25,-27,2425,2037,-339,765
156231,715,1066,2685,31,296,4393,-12268,71,368,18991,29,4,10,13,3122,1968,-357,830
